name,product,ISIC rev.4 ecoinvent,CPC
"syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from wood gasification","syngas, RWGS, Production",2011:Manufacture of basic chemicals,35499: Other chemical products n.e.c.
"syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from wood gasification, with CCS","syngas, RWGS, Production",2011:Manufacture of basic chemicals,23319: Preparations used in animal feeding n.e.c.
synthetic diamond production,synthetic diamond,2420:Manufacture of basic precious and other non-ferrous metals,"34730: Polymers of vinyl chloride or other halogenated olefins, in primary forms"
synthetic graphite production,"synthetic graphite, 99% pure",2011:Manufacture of basic chemicals,37950: Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in t[…]
"synthetic natural gas from wood, 70 bar, at plant","synthetic natural gas from wood, 70 bar, at plant",3530:Steam and air conditioning supply,53262: Power plants
"system controller production, for home storage system","system controller, for home storage system","2512:Manufacture of tanks, reservoirs and containers of metal","42210: Reservoirs, tanks, vats and similar containers (other than for compressed or liquefied gas), of iron, steel or[…]"
tab Aluminum,tab Aluminum,0161:Support activities for crop production,86119: Other support services to crop production
tab Copper,tab Copper,2420:Manufacture of basic precious and other non-ferrous metals,41412: Unrefined copper; copper anodes for electrolytic refining
"takeback and recycling, c-Si PV module","takeback and recycling, c-Si PV module",2610:Manufacture of electronic components and boards,"43914: Filtering or purifying machinery and apparatus, for liquids or gases, except oil filters, petrol filters and a[…]"
"takeback and recycling, CdTe PV module","takeback and recycling, CdTe PV module",0161:Support activities for crop production,"43914: Filtering or purifying machinery and apparatus, for liquids or gases, except oil filters, petrol filters and a[…]"
"tanks, pumps, vessels NI EPR","tanks, pumps, vessels NI EPR",4290:Construction of other civil engineering projects,53262: Power plants
tantalum mine operation and beneficiation,"tantalum concentrate, 30% Ta2O5",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"tellurium production, semiconductor-grade","tellurium, semiconductor-grade",0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"tEMPO-4-sulfate potassium production, for RFB","tEMPO-4-sulfate potassium, electroactive material, RFB",2012:Manufacture of fertilizers and nitrogen compounds,34632: Potassium sulphate (sulphate of potash)
"terminals production, for Li-O2 battery",terminals,2011:Manufacture of basic chemicals,"46430: Parts of primary cells, primary batteries and electric accumulators (including separators)"
"thermal pad production, for Li-O2 battery",thermal pad,2011:Manufacture of basic chemicals,"46430: Parts of primary cells, primary batteries and electric accumulators (including separators)"
tin (IV) chloride production,tin (IV) chloride,2011:Manufacture of basic chemicals,"34140: Carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and their halogenated, sulphonated, […]"
tin mine operation,tin concentrate,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
tin production,tin,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"tires and wheels, for lorry","tires and wheels, for lorry",2610:Manufacture of electronic components and boards,6511: Road transport services of freight
titanium production,titanium,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
"titanium sponge production, from titanium tetrachloride",titanium sponge,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
titanium tetrachloride production,titanium tetrachloride,0729:Mining of other non-ferrous metal ores,14290: Other non-ferrous metal ores and concentrates (other than uranium or thorium ores and concentrates)
TMATEMPO quantitative production,TMATEMPO quantitative,2011:Manufacture of basic chemicals,35499: Other chemical products n.e.c.
"tram, electric","tram, electric",0161:Support activities for crop production,88744: Consumer electronics manufacturing services
transformer 12kV,transformer 12kV,0161:Support activities for crop production,86119: Other support services to crop production
transformer 500MV,transformer 500MV,0161:Support activities for crop production,86119: Other support services to crop production
"transformer production, 315kVA, 11kV2","transformer, 315kVA, 11kV2",2011:Manufacture of basic chemicals,"34663: Herbicides, anti-sprouting products and plant-growth regulators"
transformers,transformers,0161:Support activities for crop production,86119: Other support services to crop production
"transmission, for lorry","transmission, for lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, Bicycle, battery electric, cargo bike","transport, Bicycle, battery electric, cargo bike",4922:Other passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Bicycle, conventional, urban","transport, Bicycle, conventional, urban",4921:Urban and suburban passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Bicycle, electric (<25 km/h)","transport, Bicycle, electric (<25 km/h)",4922:Other passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, Bicycle, electric (<45 km/h)","transport, Bicycle, electric (<45 km/h)",4922:Other passenger land transport,"64119: Other land transportation services of passengers, n.e.c."
"transport, freight train, diesel-electric","transport, freight train",4912:Freight rail transport,6512: Railway transport services of freight
"transport, freight train, electric","transport, freight train",4912:Freight rail transport,6512: Railway transport services of freight
"transport, freight train, fuel cell, hydrogen","transport, freight train",4912:Freight rail transport,6512: Railway transport services of freight
"transport, freight, lorry, 18 metric ton, fleet average","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, 18t gross weight, unspecified powertrain, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, 26 metric ton, fleet average","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, 26t gross weight, unspecified powertrain, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, 3.5 metric ton, fleet average","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, 3.5t gross weight, unspecified powertrain, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, 32 metric ton, fleet average","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, 40 metric ton, fleet average","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, 40t gross weight, unspecified powertrain, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, 60 metric ton, fleet average","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, 7.5 metric ton, fleet average","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, 7.5t gross weight, unspecified powertrain, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, battery electric, 18 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, battery electric, 18t gross weight, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, battery electric, 26 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, battery electric, 26t gross weight, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, battery electric, 3.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, battery electric, 3.5t gross weight, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, battery electric, 32 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, battery electric, 32t gross weight, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, battery electric, 40 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, battery electric, 40t gross weight, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, battery electric, 60 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, battery electric, 60t gross weight, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, battery electric, 7.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, battery electric, 7.5t gross weight, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 18 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 18t gross weight, EURO-III, long haul","transport, freight, lorry, EURO-III",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 18t gross weight, EURO-IV, long haul","transport, freight, lorry, EURO-IV",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 18t gross weight, EURO-V, long haul","transport, freight, lorry, EURO-V",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 26 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 26t gross weight, EURO-III, long haul","transport, freight, lorry, EURO-III",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 26t gross weight, EURO-IV, long haul","transport, freight, lorry, EURO-IV",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 26t gross weight, EURO-V, long haul","transport, freight, lorry, EURO-V",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 26t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 3.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 3.5t gross weight, EURO-III, long haul","transport, freight, lorry, EURO-III",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 3.5t gross weight, EURO-IV, long haul","transport, freight, lorry, EURO-IV",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 3.5t gross weight, EURO-V, long haul","transport, freight, lorry, EURO-V",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 3.5t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 32 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 32t gross weight, EURO-III, long haul","transport, freight, lorry, EURO-III",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 32t gross weight, EURO-IV, long haul","transport, freight, lorry, EURO-IV",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 32t gross weight, EURO-V, long haul","transport, freight, lorry, EURO-V",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 32t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 40 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 40t gross weight, EURO-III, long haul","transport, freight, lorry, EURO-III",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 40t gross weight, EURO-IV, long haul","transport, freight, lorry, EURO-IV",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 40t gross weight, EURO-V, long haul","transport, freight, lorry, EURO-V",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 40t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 60 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 60t gross weight, EURO-III, long haul","transport, freight, lorry, EURO-III",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 60t gross weight, EURO-IV, long haul","transport, freight, lorry, EURO-IV",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 60t gross weight, EURO-V, long haul","transport, freight, lorry, EURO-V",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 60t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 7.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 7.5t gross weight, EURO-III, long haul","transport, freight, lorry, EURO-III",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 7.5t gross weight, EURO-IV, long haul","transport, freight, lorry, EURO-IV",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 7.5t gross weight, EURO-V, long haul","transport, freight, lorry, EURO-V",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, compressed gas, 7.5t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel hybrid, 18 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel hybrid, 18t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel hybrid, 26 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel hybrid, 26t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel hybrid, 3.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel hybrid, 3.5t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel hybrid, 32 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel hybrid, 32t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel hybrid, 40 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel hybrid, 40t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel hybrid, 60 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel hybrid, 60t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel hybrid, 7.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel hybrid, 7.5t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 18 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 18t gross weight, EURO-III, long haul","transport, freight, lorry, EURO-III",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 18t gross weight, EURO-IV, long haul","transport, freight, lorry, EURO-IV",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 18t gross weight, EURO-V, long haul","transport, freight, lorry, EURO-V",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 26 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 26t gross weight, EURO-III, long haul","transport, freight, lorry, EURO-III",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 26t gross weight, EURO-IV, long haul","transport, freight, lorry, EURO-IV",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 26t gross weight, EURO-V, long haul","transport, freight, lorry, EURO-V",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 26t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 3.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 3.5t gross weight, EURO-III, long haul","transport, freight, lorry, EURO-III",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 3.5t gross weight, EURO-IV, long haul","transport, freight, lorry, EURO-IV",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 3.5t gross weight, EURO-V, long haul","transport, freight, lorry, EURO-V",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 3.5t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 32 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 32t gross weight, EURO-III, long haul","transport, freight, lorry, EURO-III",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 32t gross weight, EURO-IV, long haul","transport, freight, lorry, EURO-IV",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 32t gross weight, EURO-V, long haul","transport, freight, lorry, EURO-V",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 32t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 40 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 40t gross weight, EURO-III, long haul","transport, freight, lorry, EURO-III",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 40t gross weight, EURO-IV, long haul","transport, freight, lorry, EURO-IV",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 40t gross weight, EURO-V, long haul","transport, freight, lorry, EURO-V",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 40t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 60 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 60t gross weight, EURO-III, long haul","transport, freight, lorry, EURO-III",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 60t gross weight, EURO-IV, long haul","transport, freight, lorry, EURO-IV",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 60t gross weight, EURO-V, long haul","transport, freight, lorry, EURO-V",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 60t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 7.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 7.5t gross weight, EURO-III, long haul","transport, freight, lorry, EURO-III",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 7.5t gross weight, EURO-IV, long haul","transport, freight, lorry, EURO-IV",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 7.5t gross weight, EURO-V, long haul","transport, freight, lorry, EURO-V",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, diesel, 7.5t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fleet average","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fuel cell electric, 18 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fuel cell electric, 18t gross weight, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fuel cell electric, 26 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fuel cell electric, 26t gross weight, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fuel cell electric, 3.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fuel cell electric, 3.5t gross weight, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fuel cell electric, 32 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fuel cell electric, 32t gross weight, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fuel cell electric, 40 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fuel cell electric, 40t gross weight, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fuel cell electric, 60 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fuel cell electric, 60t gross weight, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fuel cell electric, 7.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, fuel cell electric, 7.5t gross weight, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, gasoline hybrid, 18 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, gasoline hybrid, 18t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, gasoline hybrid, 40 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, gasoline hybrid, 40t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, gasoline, 18 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, gasoline, 18t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, gasoline, 3.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, gasoline, 3.5t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, gasoline, 40 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, gasoline, 40t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, gasoline, 7.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, gasoline, 7.5t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, liquefied petroleum gas, 18 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, liquefied petroleum gas, 18t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, liquefied petroleum gas, 3.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, liquefied petroleum gas, 3.5t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, liquefied petroleum gas, 40 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, liquefied petroleum gas, 40t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, liquefied petroleum gas, 7.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, liquefied petroleum gas, 7.5t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, plugin diesel hybrid, 18 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, plugin diesel hybrid, 18t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, plugin diesel hybrid, 26 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, plugin diesel hybrid, 26t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, plugin diesel hybrid, 3.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, plugin diesel hybrid, 3.5t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, plugin diesel hybrid, 32 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, plugin diesel hybrid, 32t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, plugin diesel hybrid, 40 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, plugin diesel hybrid, 40t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, plugin diesel hybrid, 60 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, plugin diesel hybrid, 60t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, plugin diesel hybrid, 7.5 metric ton","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, plugin diesel hybrid, 7.5t gross weight, EURO-VI, long haul","transport, freight, lorry, EURO-VI",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, lorry, unspecified, long haul","transport, freight, lorry",4923:Freight transport by road,6511: Road transport services of freight
"transport, freight, sea, container ship, heavy fuel oil","transport, freight, sea, container ship, heavy fuel oil",5012:Sea and coastal freight water transport,65213: Coastal and transoceanic water transport services of intermodal containers by container ships
"transport, freight, sea, container ship, powered with biodiesel","transport, freight, sea, container ship",5012:Sea and coastal freight water transport,65213: Coastal and transoceanic water transport services of intermodal containers by container ships
"transport, freight, sea, container ship, powered with diesel","transport, freight, sea, container ship",5012:Sea and coastal freight water transport,65213: Coastal and transoceanic water transport services of intermodal containers by container ships
"transport, freight, sea, container ship, powered with electricity","transport, freight, sea, container ship",5012:Sea and coastal freight water transport,65213: Coastal and transoceanic water transport services of intermodal containers by container ships
"transport, freight, sea, container ship, powered with hydrogen","transport, freight, sea, container ship",5012:Sea and coastal freight water transport,65213: Coastal and transoceanic water transport services of intermodal containers by container ships
"transport, freight, sea, container ship, powered with liquid ammonia","transport, freight, sea, container ship",5012:Sea and coastal freight water transport,65213: Coastal and transoceanic water transport services of intermodal containers by container ships
